x,y,species_1 cloglog values
460.0,460.0,0.55844235
461.0,461.0,1.8382088E-5
462.0,462.0,1.6268864E-4
463.0,463.0,0.005389256
464.0,464.0,0.32060456
465.0,465.0,0.087804906
466.0,466.0,0.007413393
467.0,467.0,0.64863527
468.0,468.0,5.5638165E-4
469.0,469.0,0.28244087
470.0,470.0,0.28458238
471.0,471.0,0.0027522792
472.0,472.0,0.3001462
473.0,473.0,4.7514666E-4
474.0,474.0,0.21500063
475.0,475.0,7.65207E-4
476.0,476.0,0.3049615
477.0,477.0,0.013588269
478.0,478.0,0.015522153
479.0,479.0,0.4823538
480.0,480.0,0.51448405
481.0,481.0,0.3231198
482.0,482.0,0.16954795
483.0,483.0,0.4791648
484.0,484.0,8.294857E-4
485.0,485.0,0.04383581
486.0,486.0,0.007783469
487.0,487.0,0.4020675
488.0,488.0,0.23251492
489.0,489.0,0.0019397276
490.0,490.0,0.23665914
491.0,491.0,0.3982899
492.0,492.0,0.002388091
493.0,493.0,0.2365333
494.0,494.0,3.9411243E-4
495.0,495.0,1.6973329E-4
496.0,496.0,0.6118887
497.0,497.0,6.998681E-5
498.0,498.0,0.0010504525
499.0,499.0,0.0011444145
500.0,500.0,0.00169695
501.0,501.0,0.02067176
502.0,502.0,0.112257585
503.0,503.0,3.4342377E-4
504.0,504.0,0.0014123989
505.0,505.0,0.12673077
506.0,506.0,0.33500567
507.0,507.0,0.1084278
508.0,508.0,0.0012472797
509.0,509.0,0.01987069
510.0,510.0,0.056233887
511.0,511.0,0.0010668087
512.0,512.0,0.3215517
513.0,513.0,0.41771314
514.0,514.0,0.234586
515.0,515.0,4.8738983E-4
516.0,516.0,0.56790495
517.0,517.0,0.0010255388
518.0,518.0,0.39019775
519.0,519.0,0.084485576
520.0,520.0,0.2157573
521.0,521.0,4.1328394E-4
522.0,522.0,0.16665168
523.0,523.0,0.38866124
524.0,524.0,0.02551352
525.0,525.0,3.4324956E-5
526.0,526.0,0.029027276
527.0,527.0,0.28944492
528.0,528.0,0.10837563
529.0,529.0,0.36672342
530.0,530.0,0.5178959
531.0,531.0,0.31863534
532.0,532.0,0.18328212
533.0,533.0,0.43036503
534.0,534.0,0.16524987
535.0,535.0,0.42054057
536.0,536.0,0.21798335
537.0,537.0,0.057111096
538.0,538.0,1.2638548E-4
539.0,539.0,0.0012763247
540.0,540.0,0.5110184
541.0,541.0,1.14097966E-4
542.0,542.0,0.46463394
543.0,543.0,0.048469868
544.0,544.0,0.17754497
545.0,545.0,8.840058E-4
546.0,546.0,0.051194258
547.0,547.0,0.13583589
548.0,548.0,0.16654272
549.0,549.0,0.008379672
550.0,550.0,4.3718462E-4
551.0,551.0,0.1839541
552.0,552.0,0.14466998
553.0,553.0,0.5461549
554.0,554.0,1.04032726E-4
555.0,555.0,5.4018776E-4
556.0,556.0,4.903102E-4
557.0,557.0,0.5586293
558.0,558.0,0.0030673668
559.0,559.0,1.14025104E-4
560.0,560.0,0.0028844029
561.0,561.0,0.25591177
562.0,562.0,3.0999374E-5
563.0,563.0,0.07742516
564.0,564.0,3.1452565E-4
565.0,565.0,0.28266025
566.0,566.0,0.2539484
567.0,567.0,0.008055087
568.0,568.0,0.0030858465
569.0,569.0,4.601666E-4
570.0,570.0,0.036975164
571.0,571.0,0.24756755
572.0,572.0,0.07548802
573.0,573.0,0.02213864
574.0,574.0,0.23718952
575.0,575.0,1.3494134E-4
576.0,576.0,0.1766874
577.0,577.0,0.0105756065
578.0,578.0,6.959969E-4
579.0,579.0,0.25649357
580.0,580.0,5.0368346E-4
581.0,581.0,0.45872664
582.0,582.0,1.403819E-4
583.0,583.0,0.0337223
584.0,584.0,0.39767987
585.0,585.0,0.0012510251
586.0,586.0,0.3633608
587.0,587.0,0.37645698
588.0,588.0,0.6956108
589.0,589.0,6.455584E-4
590.0,590.0,0.09276135
591.0,591.0,0.18135355
592.0,592.0,5.9026154E-4
593.0,593.0,0.33868465
594.0,594.0,2.2923198E-4
595.0,595.0,0.3405079
596.0,596.0,0.45062625
597.0,597.0,0.2002421
598.0,598.0,0.22306341
599.0,599.0,0.09683887
600.0,600.0,0.008938787
601.0,601.0,0.0011927829
602.0,602.0,0.12421459
603.0,603.0,0.20534372
604.0,604.0,0.29611865
605.0,605.0,2.9374313E-4
606.0,606.0,0.0053559532
607.0,607.0,0.37744698
608.0,608.0,0.40050673
609.0,609.0,0.31940264
610.0,610.0,0.06719237
611.0,611.0,0.19341393
612.0,612.0,0.054920796
613.0,613.0,5.382304E-4
614.0,614.0,0.052011363
615.0,615.0,2.4332305E-5
616.0,616.0,9.125505E-5
617.0,617.0,0.45375517
618.0,618.0,0.34796318
619.0,619.0,3.6996746E-4
620.0,620.0,0.09322292
621.0,621.0,0.04474107
622.0,622.0,0.0068332814
623.0,623.0,7.918196E-4
624.0,624.0,5.0577236E-4
625.0,625.0,0.36896217
626.0,626.0,0.036916707
627.0,627.0,0.2981504
628.0,628.0,0.40016514
629.0,629.0,0.19257753
630.0,630.0,0.30371788
631.0,631.0,0.009358931
