x,y,species avg
301.0,301.0,1.8083389E-4
302.0,302.0,3.4413144E-5
303.0,303.0,0.17010508
304.0,304.0,0.18351802
305.0,305.0,0.29649186
306.0,306.0,7.4460286E-6
307.0,307.0,0.046281543
308.0,308.0,1.0156319E-4
309.0,309.0,0.10988952
310.0,310.0,2.9924902E-4
311.0,311.0,0.0981121
312.0,312.0,0.394109
313.0,313.0,0.24835686
314.0,314.0,0.23049013
315.0,315.0,0.0114481505
316.0,316.0,0.36025882
317.0,317.0,0.9228213
318.0,318.0,0.021732153
319.0,319.0,0.46631643
320.0,320.0,0.5371742
321.0,321.0,7.888393E-4
322.0,322.0,0.0015383889
323.0,323.0,0.0061349035
324.0,324.0,0.0012292704
325.0,325.0,0.084720455
326.0,326.0,0.1384488
327.0,327.0,0.20541817
328.0,328.0,3.343488E-4
329.0,329.0,0.0017135045
330.0,330.0,0.18970607
331.0,331.0,0.30134612
332.0,332.0,0.19264375
333.0,333.0,0.0031688004
334.0,334.0,0.6102204
335.0,335.0,0.039885268
336.0,336.0,2.4019813E-4
337.0,337.0,5.6117924E-4
338.0,338.0,0.2833622
339.0,339.0,0.07130432
340.0,340.0,0.035679802
341.0,341.0,0.2693566
342.0,342.0,1.7630002E-5
343.0,343.0,0.43688264
344.0,344.0,0.008629642
345.0,345.0,0.25156415
346.0,346.0,0.5001737
347.0,347.0,0.2509512
348.0,348.0,0.41544667
349.0,349.0,0.7252762
350.0,350.0,0.17917405
351.0,351.0,0.0010007124
352.0,352.0,0.39933276
353.0,353.0,0.025379466
354.0,354.0,0.4664193
355.0,355.0,0.1857573
356.0,356.0,1.0248362E-4
357.0,357.0,0.10468464
358.0,358.0,1.13090326E-4
359.0,359.0,0.036269177
360.0,360.0,0.17402901
361.0,361.0,0.3159317
362.0,362.0,0.25912482
363.0,363.0,0.36352888
364.0,364.0,8.338862E-4
365.0,365.0,1.7230166E-5
366.0,366.0,0.06520408
367.0,367.0,1.4401696E-5
368.0,368.0,0.115763105
369.0,369.0,0.2553844
370.0,370.0,0.2809414
371.0,371.0,0.24959113
372.0,372.0,0.0046655396
373.0,373.0,0.0050466233
374.0,374.0,0.24547362
375.0,375.0,0.24675232
376.0,376.0,0.047430575
377.0,377.0,0.28069025
378.0,378.0,0.23242411
379.0,379.0,0.39818573
380.0,380.0,0.47291264
381.0,381.0,2.1203898E-5
382.0,382.0,0.2299684
383.0,383.0,0.009575551
384.0,384.0,0.1987075
385.0,385.0,0.038124576
386.0,386.0,0.2650252
387.0,387.0,1.5749561E-4
388.0,388.0,1.6380064E-4
389.0,389.0,0.24481797
390.0,390.0,0.42843685
391.0,391.0,0.21316756
392.0,392.0,0.00102525
393.0,393.0,0.3432676
394.0,394.0,0.0019707172
395.0,395.0,0.2276836
396.0,396.0,0.5209377
397.0,397.0,0.10894013
398.0,398.0,0.10123166
399.0,399.0,0.44620544
400.0,400.0,0.42648098
401.0,401.0,2.7019594E-5
402.0,402.0,0.060386423
403.0,403.0,0.0022654005
404.0,404.0,3.3817098E-5
405.0,405.0,0.327491
406.0,406.0,0.7342873
407.0,407.0,0.23571703
408.0,408.0,0.1845169
409.0,409.0,0.31520024
410.0,410.0,0.02475513
411.0,411.0,7.908585E-6
412.0,412.0,0.16449726
413.0,413.0,6.7087254E-5
