x,y,species median
223.0,223.0,0.0055564437
224.0,224.0,0.08612922
225.0,225.0,0.1347516
226.0,226.0,0.88732094
227.0,227.0,3.3046774E-4
228.0,228.0,0.06483763
229.0,229.0,0.832303
230.0,230.0,7.8695355E-4
231.0,231.0,0.6666311
232.0,232.0,0.36814365
233.0,233.0,0.0054618726
234.0,234.0,0.6581151
235.0,235.0,0.03145616
236.0,236.0,0.7207049
237.0,237.0,0.09702021
238.0,238.0,0.703462
239.0,239.0,0.75338906
240.0,240.0,0.0017611448
241.0,241.0,0.6122849
242.0,242.0,0.30990264
243.0,243.0,0.05861639
244.0,244.0,0.18849981
245.0,245.0,0.118180364
246.0,246.0,0.014017976
247.0,247.0,0.089861
248.0,248.0,0.06212246
249.0,249.0,7.49169E-5
250.0,250.0,0.19777013
251.0,251.0,4.332051E-4
252.0,252.0,0.31348178
253.0,253.0,0.026389208
254.0,254.0,0.81916434
255.0,255.0,0.7700443
256.0,256.0,0.108591296
257.0,257.0,0.06911124
258.0,258.0,0.42383367
259.0,259.0,0.04805691
260.0,260.0,0.15953015
261.0,261.0,0.044318188
262.0,262.0,0.12573718
263.0,263.0,0.0026854475
264.0,264.0,0.0054218206
265.0,265.0,0.1662555
266.0,266.0,0.08158933
267.0,267.0,0.1300491
268.0,268.0,0.029819056
269.0,269.0,0.74918216
270.0,270.0,0.083968826
271.0,271.0,0.046907097
272.0,272.0,1.1518786E-4
273.0,273.0,0.60026425
274.0,274.0,0.06321975
275.0,275.0,0.19594032
276.0,276.0,1.1588669E-4
277.0,277.0,0.38319615
278.0,278.0,0.9853424
279.0,279.0,0.14030603
280.0,280.0,0.44502452
281.0,281.0,0.016783345
282.0,282.0,0.82012826
283.0,283.0,0.17970306
284.0,284.0,0.11929532
285.0,285.0,0.14387867
286.0,286.0,0.7678594
287.0,287.0,0.025184907
288.0,288.0,6.767139E-4
289.0,289.0,0.029776013
290.0,290.0,0.53230584
291.0,291.0,0.11473046
292.0,292.0,0.014969474
293.0,293.0,0.07879996
294.0,294.0,0.8148966
295.0,295.0,0.0010721989
296.0,296.0,0.6816655
297.0,297.0,0.0615101
298.0,298.0,0.033698536
299.0,299.0,0.12997304
300.0,300.0,0.0029126569
301.0,301.0,0.79663384
302.0,302.0,7.6838274E-5
303.0,303.0,0.5814104
304.0,304.0,0.79138565
305.0,305.0,0.20306122
306.0,306.0,0.94019556
307.0,307.0,0.09841809
308.0,308.0,0.17844816
309.0,309.0,0.12628274
310.0,310.0,0.08024778
311.0,311.0,0.796065
312.0,312.0,0.058118526
313.0,313.0,0.14155084
314.0,314.0,0.06834564
315.0,315.0,0.4771777
316.0,316.0,0.0010101314
317.0,317.0,0.089600176
318.0,318.0,0.09238367
319.0,319.0,0.14264847
320.0,320.0,0.24817827
321.0,321.0,0.15462151
322.0,322.0,0.6059199
323.0,323.0,0.19850977
324.0,324.0,0.1295909
325.0,325.0,0.06364258
326.0,326.0,0.13969411
327.0,327.0,0.077152334
328.0,328.0,0.087080486
329.0,329.0,0.2010915
330.0,330.0,0.01686658
331.0,331.0,0.27858
332.0,332.0,0.1872952
333.0,333.0,0.3399539
334.0,334.0,0.0754224
335.0,335.0,0.36728492
336.0,336.0,0.63550824
337.0,337.0,0.5484841
338.0,338.0,0.2203296
339.0,339.0,0.1001652
340.0,340.0,0.120782
341.0,341.0,0.46853384
342.0,342.0,0.008311408
343.0,343.0,0.02497612
344.0,344.0,0.033053294
345.0,345.0,0.07994375
346.0,346.0,0.80190164
347.0,347.0,0.0648594
348.0,348.0,5.2046846E-5
349.0,349.0,0.24763945
350.0,350.0,0.12349192
351.0,351.0,0.090327755
352.0,352.0,0.050158482
353.0,353.0,0.40613967
354.0,354.0,0.35666883
355.0,355.0,0.84396017
356.0,356.0,0.06689035
357.0,357.0,0.089667164
358.0,358.0,0.16097789
359.0,359.0,0.77297825
360.0,360.0,0.8996691
361.0,361.0,0.36904597
362.0,362.0,0.06725659
363.0,363.0,7.1254524E-4
364.0,364.0,0.10101048
365.0,365.0,0.025607647
366.0,366.0,0.11779516
367.0,367.0,4.1391063E-4
368.0,368.0,0.93168706
369.0,369.0,3.5943935E-4
370.0,370.0,0.5255269
371.0,371.0,0.22820024
372.0,372.0,0.14814188
373.0,373.0,0.76493984
374.0,374.0,0.11110038
375.0,375.0,4.9303442E-5
376.0,376.0,0.04168398
377.0,377.0,0.12593159
378.0,378.0,0.80039287
379.0,379.0,0.024164064
380.0,380.0,3.892216E-5
381.0,381.0,0.0515794
382.0,382.0,0.0044161784
383.0,383.0,0.044989694
