x,y,species_1 cloglog values
386.0,386.0,0.0015993234
387.0,387.0,0.3980753
388.0,388.0,0.1856893
389.0,389.0,7.3474264E-5
390.0,390.0,7.2140338E-6
391.0,391.0,0.009424285
392.0,392.0,0.0028595582
393.0,393.0,0.7464574
394.0,394.0,0.71296364
395.0,395.0,0.004424195
396.0,396.0,0.0012265067
397.0,397.0,2.1587338E-4
398.0,398.0,0.004061651
399.0,399.0,0.0029357516
400.0,400.0,1.170537E-5
401.0,401.0,0.009379045
402.0,402.0,0.2635983
403.0,403.0,0.012135584
404.0,404.0,0.7491461
405.0,405.0,0.0071100914
406.0,406.0,0.092534915
407.0,407.0,0.020677714
408.0,408.0,0.025476987
409.0,409.0,0.0034351263
410.0,410.0,0.82902133
411.0,411.0,1.1245924E-5
412.0,412.0,0.006005749
413.0,413.0,0.6637208
414.0,414.0,0.26267195
415.0,415.0,2.5935115E-5
416.0,416.0,0.0011255988
417.0,417.0,0.0013657926
418.0,418.0,0.0076784953
419.0,419.0,0.030930374
420.0,420.0,0.02467063
421.0,421.0,0.0015027159
422.0,422.0,0.004052734
423.0,423.0,0.013721958
424.0,424.0,0.0017415324
425.0,425.0,4.4997208E-4
426.0,426.0,0.0048035923
427.0,427.0,0.22875956
428.0,428.0,0.005982422
429.0,429.0,0.0016317904
430.0,430.0,0.002877235
431.0,431.0,5.0090335E-4
432.0,432.0,0.0019358638
433.0,433.0,0.010705568
434.0,434.0,4.662728E-4
435.0,435.0,0.6602136
436.0,436.0,0.0048942836
437.0,437.0,0.010154431
438.0,438.0,4.2645454E-5
439.0,439.0,0.6562682
440.0,440.0,0.0036916363
441.0,441.0,0.013596526
442.0,442.0,1.6345204E-5
443.0,443.0,0.010805638
444.0,444.0,5.71003E-6
445.0,445.0,0.003416605
446.0,446.0,5.1380674E-5
447.0,447.0,0.08929111
448.0,448.0,0.030983653
449.0,449.0,0.0052734027
450.0,450.0,0.005280272
451.0,451.0,0.55466443
452.0,452.0,0.062839955
453.0,453.0,0.39125004
454.0,454.0,3.0634843E-4
455.0,455.0,3.602112E-5
