x,y,species max
580.0,580.0,8.932493E-4
581.0,581.0,5.167639E-5
582.0,582.0,5.9361954E-4
583.0,583.0,0.0037090306
584.0,584.0,0.018240262
585.0,585.0,6.5271155E-4
586.0,586.0,0.0019397602
587.0,587.0,0.019429546
588.0,588.0,3.432513E-4
589.0,589.0,9.0560505E-5
590.0,590.0,0.0010606111
591.0,591.0,0.010296223
592.0,592.0,0.012518493
593.0,593.0,0.008289557
594.0,594.0,0.029142637
595.0,595.0,0.04834364
596.0,596.0,2.1166277E-4
597.0,597.0,0.013751301
598.0,598.0,0.0011043026
599.0,599.0,0.0044532944
600.0,600.0,0.7472582
601.0,601.0,0.09591981
602.0,602.0,1.9180283E-4
603.0,603.0,0.010293622
604.0,604.0,0.022373365
605.0,605.0,0.013859973
606.0,606.0,0.86823857
607.0,607.0,0.0026066767
608.0,608.0,0.004265536
609.0,609.0,0.012051652
610.0,610.0,4.3964235E-4
611.0,611.0,1.1402094E-4
612.0,612.0,0.009196107
613.0,613.0,0.01157519
614.0,614.0,0.005346549
615.0,615.0,0.01754615
616.0,616.0,0.0064059664
617.0,617.0,0.012257894
618.0,618.0,0.015594905
619.0,619.0,0.004428103
620.0,620.0,0.015539744
621.0,621.0,1.7470711E-4
622.0,622.0,0.10542135
623.0,623.0,0.021235308
624.0,624.0,2.9462134E-4
625.0,625.0,0.009394053
626.0,626.0,0.04231093
627.0,627.0,9.814366E-5
628.0,628.0,0.0019172778
629.0,629.0,1.4788747E-5
630.0,630.0,0.0083723245
631.0,631.0,0.91181433
632.0,632.0,0.18379797
633.0,633.0,0.013211924
634.0,634.0,0.017318767
635.0,635.0,0.6639207
636.0,636.0,1.7032555E-4
637.0,637.0,0.0013788262
638.0,638.0,0.00499368
639.0,639.0,0.0026340012
640.0,640.0,0.05098032
641.0,641.0,1.6662938E-5
642.0,642.0,8.7663817E-4
643.0,643.0,0.02666099
644.0,644.0,0.014186928
645.0,645.0,5.3539334E-5
646.0,646.0,0.08021188
647.0,647.0,0.16016395
648.0,648.0,0.0073049767
649.0,649.0,0.011850727
650.0,650.0,0.010101574
651.0,651.0,0.026583893
652.0,652.0,0.0073978626
653.0,653.0,0.006494161
654.0,654.0,0.47681302
655.0,655.0,0.0073428284
656.0,656.0,0.005697742
657.0,657.0,0.0023300827
658.0,658.0,8.3737465E-4
659.0,659.0,4.4917583E-4
660.0,660.0,0.008921923
661.0,661.0,0.4609035
662.0,662.0,0.3692453
663.0,663.0,0.0041593034
664.0,664.0,0.0016256813
665.0,665.0,0.67862946
666.0,666.0,0.44829717
667.0,667.0,0.015855026
668.0,668.0,0.010701743
669.0,669.0,0.62855226
670.0,670.0,0.008265972
671.0,671.0,2.3135706E-5
672.0,672.0,4.059006E-5
673.0,673.0,3.7571404E-5
674.0,674.0,3.9064782E-4
675.0,675.0,0.09252243
676.0,676.0,0.0055102357
677.0,677.0,0.084690675
678.0,678.0,0.0035646937
679.0,679.0,0.40933132
680.0,680.0,4.3610722E-5
681.0,681.0,0.0046435897
682.0,682.0,0.41520998
683.0,683.0,0.014344619
684.0,684.0,0.010403984
685.0,685.0,2.729981E-4
686.0,686.0,0.59881425
687.0,687.0,0.015241
688.0,688.0,0.23472102
689.0,689.0,0.00735418
690.0,690.0,1.4615924E-5
691.0,691.0,0.0035123979
692.0,692.0,0.0040093954
693.0,693.0,0.7214651
694.0,694.0,2.6549032E-4
695.0,695.0,0.81604254
696.0,696.0,0.0037557548
697.0,697.0,0.050652448
698.0,698.0,3.8910206E-5
699.0,699.0,3.2288808E-4
700.0,700.0,0.0070527825
701.0,701.0,8.152656E-5
702.0,702.0,0.008585868
703.0,703.0,0.00701392
704.0,704.0,0.021292616
705.0,705.0,0.0013984885
706.0,706.0,3.3841399E-4
707.0,707.0,3.3501685E-5
708.0,708.0,0.013624225
709.0,709.0,0.008736634
710.0,710.0,0.0023813301
711.0,711.0,8.4959966E-4
712.0,712.0,1.6953025E-4
713.0,713.0,0.019966865
714.0,714.0,0.0014235447
715.0,715.0,0.010452885
716.0,716.0,0.004269754
717.0,717.0,0.7332326
718.0,718.0,0.019392606
719.0,719.0,0.02355589
720.0,720.0,0.0012925422
721.0,721.0,2.8223847E-4
722.0,722.0,0.07084852
723.0,723.0,8.105573E-4
724.0,724.0,0.012138814
725.0,725.0,0.73114336
726.0,726.0,0.013017835
727.0,727.0,0.033239327
728.0,728.0,0.08765869
729.0,729.0,0.010428956
730.0,730.0,0.004744543
731.0,731.0,0.8012598
732.0,732.0,0.008235995
733.0,733.0,0.02821279
734.0,734.0,0.00584394
735.0,735.0,3.627467E-5
736.0,736.0,0.007001885
737.0,737.0,0.6530587
738.0,738.0,0.025052994
739.0,739.0,0.012430466
740.0,740.0,3.5199395E-4
741.0,741.0,1.8719201E-4
742.0,742.0,0.82657295
743.0,743.0,6.698868E-4
744.0,744.0,8.9302985E-6
745.0,745.0,3.8736532E-4
746.0,746.0,0.0202706
747.0,747.0,0.050046455
748.0,748.0,0.033056337
749.0,749.0,0.0013620446
750.0,750.0,6.625658E-5
751.0,751.0,5.8358244E-5
752.0,752.0,0.73647594
753.0,753.0,0.78123957
754.0,754.0,0.035422094
755.0,755.0,0.1377712
756.0,756.0,0.026452398
757.0,757.0,0.7920769
758.0,758.0,1.5835064E-4
759.0,759.0,0.12695172
760.0,760.0,0.06649888
761.0,761.0,9.341382E-5
762.0,762.0,0.001642048
763.0,763.0,0.28495446
764.0,764.0,0.45024887
765.0,765.0,0.0031187406
766.0,766.0,2.2047471E-4
767.0,767.0,1.5065333E-5
768.0,768.0,0.0038839595
769.0,769.0,0.0030935367
770.0,770.0,0.007623561
771.0,771.0,0.72810066
772.0,772.0,0.0047163535
773.0,773.0,0.016064478
774.0,774.0,0.030744674
775.0,775.0,2.7517322E-4
776.0,776.0,3.964578E-5
777.0,777.0,0.07047391
778.0,778.0,0.016481146
779.0,779.0,0.7413768
780.0,780.0,2.1887483E-4
781.0,781.0,2.4192364E-4
782.0,782.0,0.04971517
783.0,783.0,0.8060823
784.0,784.0,0.013184919
785.0,785.0,0.0027390695
786.0,786.0,0.0032560665
787.0,787.0,0.003117971
788.0,788.0,1.5573831E-4
789.0,789.0,2.9556607E-4
790.0,790.0,0.0012110559
791.0,791.0,1.339382E-4
792.0,792.0,3.3238516E-4
793.0,793.0,0.098248206
794.0,794.0,0.008278061
795.0,795.0,0.009945502
796.0,796.0,0.61422575
797.0,797.0,0.008096757
798.0,798.0,0.08010313
799.0,799.0,0.0140850125
800.0,800.0,0.64883155
801.0,801.0,0.06089257
802.0,802.0,0.07130236
803.0,803.0,2.7215344E-4
804.0,804.0,1.431101E-5
805.0,805.0,0.0101937475
806.0,806.0,0.003986762
807.0,807.0,3.617494E-5
808.0,808.0,4.1617188E-4
809.0,809.0,4.6511847E-4
810.0,810.0,0.4150041
811.0,811.0,0.0038081496
812.0,812.0,0.7305739
813.0,813.0,0.011802961
814.0,814.0,4.4084554E-5
815.0,815.0,7.373974E-4
816.0,816.0,0.008282265
817.0,817.0,0.00756001
818.0,818.0,0.13923608
819.0,819.0,0.048019588
820.0,820.0,0.04030194
821.0,821.0,6.172585E-4
822.0,822.0,0.003845078
823.0,823.0,0.23378316
824.0,824.0,0.010011234
825.0,825.0,0.21163808
826.0,826.0,1.0789025E-4
827.0,827.0,0.0011769658
828.0,828.0,0.0037039928
829.0,829.0,4.9792184E-4
830.0,830.0,0.0012611895
831.0,831.0,0.10436893
832.0,832.0,0.01195403
833.0,833.0,4.218196E-5
834.0,834.0,2.534473E-4
835.0,835.0,0.23915546
836.0,836.0,0.024221022
837.0,837.0,0.0076772086
838.0,838.0,0.090479195
839.0,839.0,0.0039431546
840.0,840.0,0.63692975
841.0,841.0,0.5711444
842.0,842.0,2.3636974E-5
843.0,843.0,7.0176675E-4
844.0,844.0,0.015679143
845.0,845.0,6.343886E-4
846.0,846.0,0.049609903
847.0,847.0,0.011073535
848.0,848.0,0.024327904
849.0,849.0,0.07194066
850.0,850.0,2.2686468E-4
851.0,851.0,0.009505135
852.0,852.0,0.01110496
853.0,853.0,0.014363227
854.0,854.0,6.2964036E-4
855.0,855.0,0.0020087985
856.0,856.0,0.8344085
857.0,857.0,0.031000301
858.0,858.0,0.010396607
859.0,859.0,0.007637097
860.0,860.0,7.162621E-5
861.0,861.0,0.027306542
862.0,862.0,0.08944023
863.0,863.0,0.021819215
864.0,864.0,0.05497402
865.0,865.0,0.0032861205
866.0,866.0,0.006008784
867.0,867.0,0.012098275
868.0,868.0,6.3939294E-4
869.0,869.0,0.08354911
870.0,870.0,0.009942115
871.0,871.0,9.439067E-5
872.0,872.0,5.8327086E-4
873.0,873.0,0.0018128527
874.0,874.0,0.0053089107
875.0,875.0,0.0015314182
876.0,876.0,6.6863555E-5
877.0,877.0,2.385164E-4
878.0,878.0,0.044590127
879.0,879.0,0.0049909493
