x,y,species min
460.0,460.0,4.5322184E-5
461.0,461.0,2.4032053E-5
462.0,462.0,1.323164E-4
463.0,463.0,0.00181916
464.0,464.0,8.337414E-6
465.0,465.0,0.0020784594
466.0,466.0,1.0221051E-4
467.0,467.0,0.0060934504
468.0,468.0,7.3401775E-4
469.0,469.0,4.6142732E-4
470.0,470.0,4.5812313E-4
471.0,471.0,0.01467018
472.0,472.0,1.7804145E-4
473.0,473.0,0.071173996
474.0,474.0,0.0011532801
475.0,475.0,7.765838E-4
476.0,476.0,0.0020525744
477.0,477.0,0.0076930327
478.0,478.0,0.015969314
479.0,479.0,7.2524418E-9
480.0,480.0,0.010078548
481.0,481.0,0.006731996
482.0,482.0,0.0038575204
483.0,483.0,0.0058340505
484.0,484.0,0.0031856243
485.0,485.0,0.64651823
486.0,486.0,9.241784E-4
487.0,487.0,0.0011701274
488.0,488.0,0.54005957
489.0,489.0,4.5538077E-4
490.0,490.0,8.525174E-4
491.0,491.0,2.696078E-4
492.0,492.0,0.005826822
493.0,493.0,4.0981968E-6
494.0,494.0,0.01743195
495.0,495.0,2.7810328E-4
496.0,496.0,3.8248693E-4
497.0,497.0,0.0010890634
498.0,498.0,0.59713805
499.0,499.0,0.63292354
500.0,500.0,0.5056807
501.0,501.0,2.2652392E-4
502.0,502.0,1.5138062E-5
503.0,503.0,3.2100314E-4
504.0,504.0,0.003815161
505.0,505.0,2.4317548E-4
506.0,506.0,0.008758205
507.0,507.0,0.0014825708
508.0,508.0,0.62877697
509.0,509.0,1.4754431E-6
510.0,510.0,1.864743E-4
511.0,511.0,0.55086493
512.0,512.0,0.0023584329
513.0,513.0,0.0025742366
514.0,514.0,0.013076906
515.0,515.0,4.157265E-4
516.0,516.0,1.4048295E-7
517.0,517.0,8.7217626E-4
518.0,518.0,0.51582676
519.0,519.0,6.6261407E-4
520.0,520.0,5.823377E-8
521.0,521.0,3.3135304E-5
522.0,522.0,5.719976E-8
523.0,523.0,1.0016615E-4
524.0,524.0,1.6955384E-5
